id,sentence,ward_euclidean_cluster
395331673514000575,Obsessed with weird stuff,1302
395331673514000831,clown makeup,534
395331673514001243,Illusion Bateau Neckline Beaded Cocktail Dresses,866
429812358166900470,How cool is this ~~ Glow in the dark dust that lights up your lawn and garden!,1068
429812358166900968,Color - Double Exposure Photoshop Photo Template,334
429812358166900982,Omg perfect!,1302
437834395009800053,ColourPop x REVOLVE Eye Shadow Kit,540
437834395009800360,"Whoa pretty tat, love the placement / I TOO LOVE THE PLACEMENT BUT THAT MUST HAVE HURT LIKE HELL!",430
437834395009800360,"AND ALSO, WHEN I GET A TAT I WANT TO BE ABLE TO SEE IT ALL THE TIME SO THAT I CAN ENJOY IT~ THAT'S THE ONLY DOWN SIDE TO SOME COOL PLACES FOR A TAT.",1176
437834395009800918,my pinterest is briannataylr  come check it out (:,1078
437834395009801093,Rose Gold Hair using Wella Illumina @greathairbykrystina,480
437834395009801244,Barbie and Friends Fashionistas Multipack Doll * Find out more about the great product at the image link.,1674
336995984603500293,Rose gold sunglasses | rose gold lipstick | rose gold | fashion blogger | quay sunglasses,756
336995984603500372,Buy:Off the shoulder Lace Mini Dress,215
336995984603500677,Schedule your FIX now!!,1099
336995984603500677,Try Stitch Fix the best clothing subscription box ever!,3
336995984603500677,October 2016 Inspiration photos for stitch fix.,14
336995984603500677,Sign up now!,441
336995984603500677,Just click the pic...You can use these pins to help your stylist better understand your personal sense of style.,1555
336995984603500677,#Stitchfix #Sponsored,401
336995984603500766,Artista - Mixed Media Art Photoshop Action --- Create awesome artistic shots from your photos / images in few clicks!,332
336995984603500766,"Save hours of work with this action, it’s easy to use just pick an image, brush the interested area and click play!",1606
336995984603500766,"The action will automaticcaly generate many graphics elements to work with, combine and tweak them to make lots of variations and give your personal touch!",1422
325807354270300072,"Her dress is called ""With Only a Wink"".",212
325807354270300072,Plus Size Fashion.,701
325807354270300187,x brandy Melville.,166
325807354270300187,Cute tank,788
325807354270301078,Pointy toed #flats #shoes,693
325807354270301124,Love a good update to the classic white blouse,394
325807354270301389,smoky eye with blue,540
453526624965300072,"www.shop-gocase.com Cell Phones & Accessories - Cell Phone, Cases & Covers - http://amzn.to/2iNpCNS",891
453526624965300243,---Embroidered summer dress.,763
453526624965300243,Stitch Fix spring/summer 2017 inspiration.,15
453526624965300243,Ask you stylist for something like this in your fix.,439
453526624965300243,Click on the picture to fill out your style profile.,143
453526624965300243,Enjoy!,1176
453526624965300243,#sponsored,1167
453526624965300247,Stitch Fix spring/summer 2017.,13
453526624965300247,Grey braided neckline halter knit top.,257
453526624965300247,Ask your stylist for this top or something similar.,439
453526624965300247,Click on the picture to fill out your style profile.,143
453526624965300247,Enjoy!,1176
453526624965300247,#sponsored,1167
453526624965300794,#Resume / Cv - #Resumes Stationery Download here: https://graphicriver.net/item/resume-cv/19598868?ref=alena994,1455
453526624965301206,"Swimwear For Women - Sexy Bikinis, Swimsuits & Bathing Suits Fashion Trendy Online | ZAFUL - Page 5",451
453526624965301422,On sale $59 - NORDSTROM Women's O'Neill Tulip Embroidered Dress,39
452822937508600056,Inspiration for Photography Midwest | photographymidwest.com | #pmw #photographymidwest,1191
452822937508600087,"little bow flats- so cute, perfect for adding sweet little girly touch to a summer outfit.",156
452822937508600087,#Shoes #Flats #Sandals,693
452822937508600190,pink champagne stud earrings http://rstyle.me/n/uw8unr9te,861
452822937508600384,"lace tee dress - sew sleeves under I don't know if this is technically legal for T2, but I love it.",395
452822937508600384,The colors look right on my screen; maybe the contrast speaks to my S4.,422
452822937508600939,Minimalistic Event Flyer 1 - http://graphicriver.net/item/minimalistic-event-flyer-1/4701748?ref=cruzine,1310
452822937508600958,House Music Event Flyer | Poster Template PSD | Buy and Download: http://graphicriver.net/item/house-music-event-flyer-poster/8597758?WT.ac=category_thumb&WT.z_author=Digitech-media&ref=ksioks,355
452822937508601189,Minimalistic Party Flyer 3 - http://graphicriver.net/item/minimalistic-party-flyer-3/4607523?ref=cruzine,1310
850195235875500052,CISMARK Chic Color block V Neck Sleeveless Business Pencil Dress Red Red S * You can find more details by visiting the image link.,1732
