workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Pin,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,PinId,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the pin you just observed.",What is your overall impression of the pin?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,"After observing the pin, what is your overall impression of the item shown in the image above?",How much do you think the pin creator favors the item shown in the image above?,How likely do you think there is a relationship between the pin creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the pin you observed states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
1,9,9,5,1,Yes,Yes,Yes,No,Yes,No,A Few Times A Week,Several Times A Day,Never,Several Times A Day,About Once A Day,Never,Every Few Weeks,A Few Times A Week,Never,Every Few Weeks,Less Often,Never,51,60,697283954778000593,12,72,It is a nice soap holder that you install in or near your bathtub/shower. It appears that you mount it on the wall. It is aesthetically pleasing for  a soap holder.,Extremely Positive,"Because most soap holders are gross and scummy, or they are just ugly to look at it. This has a nice look to it.",92,164,Somewhat Positive,Moderately Favors,Somewhat Likely,"Their description makes it sound as if they MIGHT be trying to sell the product, but I almost feel they just enjoy the product. They probably bought one and just want other people to see how good it is.",87,265,That the user gets some percentage of compensation for the product being sold.,60,325,27,352,1987,Male,Some College,"$50,000 to $74,999",11,363
2,6,6,2,3,Yes,Yes,Yes,Yes,Yes,No,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,31,37,414823815668000016,3,40,It was flowers,Neutral,I do not feel one way or the other,18,58,Somewhat Negative,Moderately Favors,Neutral,I do not like the color,13,77,Affiliated link,21,98,6,104,1983,Male,Bachelor's Degree,"Less than $25,000",12,116
3,3,3,5,3,No,No,Yes,Yes,No,No,Several Times A Day,Never,About Once A Day,Less Often,Less Often,Never,About Once A Day,Never,Every Few Weeks,Never,Never,Never,74,77,414823815668000016,9,86,It looked like blinged-out baby Converse shoes,Neutral,It's not something I have strong feelings about one way or the other. It just is.,39,125,Neutral,Somewhat Favors,Somewhat Likely,"It's a little confusing, because the original pin was about baby shoes, but these are Heelys, which are for older kids. ",53,192,That means that the person receives a commission if someone clicks the link and then buys something.,23,215,14,229,1977,Female,Bachelor's Degree,"$100,000 to $124,999",12,241
4,9,9,5,4,Yes,No,Yes,Yes,Yes,No,Less Often,Never,Less Often,Less Often,Several Times A Day,Never,Less Often,Never,Less Often,Less Often,Less Often,Never,54,63,1548181098801468,8,71,A person holding a blanket. ,Neutral,I do not care one way or the other it is a piece of fabric being held.,49,120,Somewhat Positive,Somewhat Favors,Somewhat Likely,It is likely they are trying to sell these blankets.,40,169,It means the post is corporate just trying to make money.,30,199,14,213,1985,Male,High School Graduate,"$35,000 to $49,999",15,228
5,12,12,3,5,Yes,No,Yes,No,Yes,No,A Few Times A Week,Never,Less Often,Every Few Weeks,About Once A Day,Never,Every Few Weeks,Never,Never,Never,Never,Never,62,74,804314814672700115,31,105,It is a dog bed that looks like a shark.,Somewhat Positive,It's not my taste but it is pretty cute and humorous.,34,139,Somewhat Positive,Moderately Favors,Somewhat Likely,I think the pin creator is also the seller because of the language and the link to the amazon page.,98,266,"I assume it means ""affiliate link"", but I am not positive.",41,307,21,328,1973,Female,Bachelor's Degree,"$75,000 to $99,999",22,350
6,20,20,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Less Often,Less Often,Several Times A Day,Several Times A Day,Less Often,Several Times A Day,Less Often,Less Often,Several Times A Day,Less Often,Less Often,36,56,697283954778000593,12,68,black and brass soap holder for the bathroom.,Somewhat Positive,It was a very pretty soap holder.  It would actually match most of my house decor. ,45,113,Somewhat Positive,Slightly Favors,Somewhat Likely,"They do affiliate marketing.  Not everyone sells things they personally like, most do it for the sales they can make, but to do small items like this, they most likely like the item. ",83,214,"That if you click on the link, it will save your information into the cookies for the site and anything you buy from that site will give a sales credit to the link holder.  ",54,268,31,299,1978,Female,Some College,"$35,000 to $49,999",18,317
7,17,17,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,A Few Times A Week,Every Few Weeks,A Few Times A Week,About Once A Day,A Few Times A Week,A Few Times A Week,Every Few Weeks,A Few Times A Week,Less Often,About Once A Day,Every Few Weeks,59,76,697283954778000593,14,90,A soap holder attached to the wall holding a bar of soap.,Somewhat Positive,I would like to have that in my shower.,48,138,Somewhat Positive,Somewhat Favors,Somewhat Likely,I figures people make money or else why would they do it. But the poster probably only made a very small amount.,73,227,Once you click the link the poster makes a very small amount.,29,256,26,282,1972,Female,Some College,"$75,000 to $99,999",16,298
8,14,14,4,4,Yes,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,Several Times A Day,Every Few Weeks,Several Times A Day,Several Times A Day,Several Times A Day,Never,Every Few Weeks,Less Often,A Few Times A Week,Never,A Few Times A Week,57,71,1548181098801468,10,81,Appears to be a nice blue and white blanket. Has 65 likes.,Somewhat Positive,blanket looks nice,48,129,Neutral,Somewhat Favors,Extremely Likely,The pin creator received the item for free,59,201,"When someone clicks the affiliate link, the original pin creator receives a small amount of money if the person who clicked the link buys the item.",80,281,40,321,1989,Female,Bachelor's Degree,Prefer not to answer,18,339
9,5,5,3,1,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,Less Often,A Few Times A Week,About Once A Day,A Few Times A Week,About Once A Day,Less Often,Less Often,Every Few Weeks,Less Often,A Few Times A Week,42,47,697283954778000593,5,52,I observed an ornate bar soap holder.,Somewhat Positive,It looked very ornate and pretty.,31,83,Somewhat Positive,Moderately Favors,Somewhat Unlikely,The description was very matter of fact and did not contain any expressions associated with excitement.,42,135,Affiliate link - person receives benefit when you buy through that link.,26,161,19,180,1987,Male,"Professional Degree (e.g., MBA, J.D.)","$50,000 to $74,999",12,192
10,11,11,1,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Never,Every Few Weeks,Every Few Weeks,Every Few Weeks,Never,Never,Never,63,74,1548181098801468,19,93,I think it was a dinner table cover or a curtain of some sort. Looked very old and something I would never use in my home.,Somewhat Negative,It looked like something that could be used a century ago.,67,160,Somewhat Negative,Strongly Favors,Extremely Likely,"I think the creator of the Pin definitely has a relationship with the seller, otherwise why would he/she post that Pin.",51,219,,,,21,240,1994,Male,Bachelor's Degree,"$50,000 to $74,999",8,248
