workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Video,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,VideoId,player_actions,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the video you just watched.",What is your overall impression of the video?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,Time_spent_page_description,Time_spent_survey_description,"After watching the video, what is your overall impression of the item shown in the image above?",How much do you think the video creator favors the item shown in the image above?,How likely do you think there is a relationship between the video creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the video you watched states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
1,4,4,5,5,No,No,No,No,No,No,Every Few Weeks,About Once A Day,About Once A Day,Several Times A Day,Every Few Weeks,Never,Never,Never,Never,Never,Never,Never,32,36,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0009999275207519531;0|220.721;,225,261,"Guy reviews a record player. It has some pros and cons. Seems like the product is average, nothing special.",Neutral,I was not blown away by anything in the video. I understood what the guy was saying. Maybe it's simply that I am not interested in the topic the video was about.,71,332,8,340,Neutral,Somewhat Favors,Neutral,He may or may not have been given the product to  rate. Or maybe he bought it all on his own and its a complete honest assessment. It could also be an honest assessment even if the company gave it to him to rate.,67,407,"It means that if I click on one of the links, he gets money.",29,436,10,446,1992,Female,Some College,"$35,000 to $49,999",8,455
2,37,37,6,4,Yes,Yes,Yes,No,Yes,Yes,Less Often,Several Times A Day,Never,Less Often,Several Times A Day,Less Often,Never,Never,Never,Never,Never,Never,52,89,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.06599998474121094;0|200.401;,243,332,The video that was presented displayed overhead drone shots of Iceland. It also displayed driving shots of the country. I saw beautiful snow-topped mountains and hilly plains. It was also raining which made it all the more beautiful.,Extremely Positive,"This video reminds me of my childhood in Reno, Nevada where I was met with snow-topped mountains and extensive plains every single day. Now that I live in Houston, I never thought that I would miss mountains, grassy plains, and snow this much!",205,537,20,557,Somewhat Negative,Strongly Favors,Somewhat Likely,"Even though it is extremely expensive for me, I believe that video creator really likes it; the drone produced beautiful HD footage. In regards to the last question, I believe that many YouTubers (including my favorite ones) are struggling to gain monetization due to the new policies that YouTube have been testing. In order to stay afloat, many content creators rely on merchandise sales, fan-funded services such Patreon, tours, and sponsorships. I do not have any problems with sponsorships because I believe that the newly-implemented policies are over-correcting the advertisement issues that the site has been experiencing.",668,1225,"Again, many YouTubers are trying to stay afloat by obtaining sponsorships.",107,1332,50,1382,1998,Female,Some College,"Less than $25,000",18,1400
3,5,5,1,2,Yes,Yes,Yes,Yes,Yes,No,Every Few Weeks,Every Few Weeks,Several Times A Day,Every Few Weeks,Several Times A Day,Never,Never,Never,Several Times A Day,Never,Never,Never,32,37,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.000663;3|13.707249;1|13.769593927520752;2|71.967835;1|72.075368;2|87.988754;1|88.097276;2|145.206148;1|145.309637;0|204.901;,398,435,The video was a review for an eyeshadow palette from a drugstore. ,Somewhat Negative,"I don't really care about makeup, so I didn't like having to watch the video.",130,565,4,569,Extremely Negative,Moderately Favors,Somewhat Likely,"It is very likely that the palette was given to the YouTuber, but also likely that they just got it to review for their page",37,606,,,,13,619,1992,Female,Some College,"Less than $25,000",6,625
4,109,109,7,1,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,A Few Times A Week,Less Often,Every Few Weeks,Several Times A Day,A Few Times A Week,A Few Times A Week,Every Few Weeks,Less Often,Never,Every Few Weeks,Less Often,58,167,DQktwMexxE0,Start|0;-1|0;3|0;1|0.002025927520751953;0|217.081;,234,401,"A toy is placed on the floor and in a closet, to see the reaction of the cat",Somewhat Positive,"It's very funny to see how the cat is interacting with the toy, it's like seeing a human baby seeing things for the first time",87,488,30,518,Somewhat Positive,Strongly Favors,Somewhat Likely,I think the creator of the video was contacted by the company to advertise the cat food,89,607,That the person is paying for advertising when making the videos,47,654,42,696,1993,Male,Some College,"$25,000 to $34,999",18,714
5,11,11,1,5,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Every Few Weeks,Never,A Few Times A Week,About Once A Day,Every Few Weeks,Every Few Weeks,Less Often,Never,Less Often,Every Few Weeks,38,49,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0010001659393310547;2|79.675391;1|79.74;,175,224,this video is a review of a crosley record player.,Extremely Positive,The guy in the video did a good job reviewing and explaining the product.,56,280,11,291,Extremely Positive,Strongly Favors,Extremely Unlikely,the guy is a 3rd party consumer that just wanted to inform the public about his thoughts on the product.,50,341,,,,42,383,1991,Male,Some College,"$25,000 to $34,999",10,393
6,82,82,3,5,No,No,Yes,No,Yes,No,About Once A Day,Never,Never,Never,About Once A Day,Never,Less Often,Never,Never,Never,Never,Never,55,137,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0;0|220.721;,230,367,It was a review for a record player. The video showed all of the features of the player and the way it looked.,Somewhat Positive,It was not that well thought out but it still did have some good information.  Did not seem very professional,55,422,12,434,Somewhat Positive,Strongly Favors,Somewhat Likely,He seemed to like it more than he should have given the reviews of the product.,59,493,That links to products may be affiliated to the person that made the video. Meaning they make money from the makers of the product.,123,616,31,647,1991,Male,High School Graduate,"Less than $25,000",17,664
7,4,4,7,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,Less Often,Less Often,A Few Times A Week,Never,A Few Times A Week,Every Few Weeks,Less Often,Less Often,Less Often,Never,42,47,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.0009999275207519531;0|200.401;,216,263,This was a time lapse landscape scenery video of Iceland taken by drone and dash cam. The views shown are breathtaking. The video was set to music.,Extremely Positive,This video was very well produced.  The music fit very well with the video and was upbeat and inspiring.  ,185,448,4,452,Extremely Positive,Strongly Favors,Somewhat Unlikely,"The video creator likely has used several drones for various videos.  This one was likely chosen to publish because this drone took such candid, brilliant video.",83,535,It means the creators would like you to shop for those products through their links so they can receive sponsorship credit.,77,612,25,637,1971,Female,Associate's Degree,"$100,000 to $124,999",13,650
8,11,11,5,4,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,About Once A Day,Never,A Few Times A Week,Several Times A Day,A Few Times A Week,A Few Times A Week,Every Few Weeks,Never,Every Few Weeks,Less Often,Never,189,200,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.0010001659393310547;0|200.401;,712,912,"It was a very nice video, it was made with a fast camera and it shows very beautiful landscapes",Somewhat Positive,"I would like very much to have the opportunity to record something like that, I really like the effect or quick camera mode.",121,1033,23,1056,Extremely Positive,Strongly Favors,Somewhat Likely,Maybe for the mencion you get a discount or give the product if it is an important influence,70,1126,that has some paid publicity,39,1165,19,1184,1944,Male,High School Graduate,"$25,000 to $34,999",19,1203
9,18,18,3,4,Yes,No,Yes,No,Not Sure,No,Several Times A Day,Never,Never,Less Often,Never,Never,A Few Times A Week,Never,Never,Less Often,Never,Never,157,175,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.003999948501586914;0|200.401;,232,407,It was a video about Iceland. It displayed many different vistas from mountains to waterways and waterfalls. It showed roadways at a fast speed.,Extremely Positive,The scenic beauty is the video was breathtaking! It made me want to visit Iceland greatly. I adore natural beauty.,122,529,41,570,Extremely Positive,Strongly Favors,Somewhat Likely,"It stands to reason that if a person videoing a country like Iceland with a drone and he advertises a sales link to that drone, then he is likely using it to make money. No shame in that!",123,693,It means that if you might be interested in selling this product yourself through your own website that it is possible to do so.,58,751,50,801,1962,Female,High School Graduate,"$50,000 to $74,999",32,833
10,15,15,1,5,No,No,Yes,Yes,Yes,No,Several Times A Day,Never,About Once A Day,Never,Several Times A Day,Never,Several Times A Day,Never,About Once A Day,Never,Several Times A Day,Never,41,56,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.002000093460083008;0|220.721;,251,307,"It was a guy named Jordan giving us a review of a record player that he had recently purchased. He was pretty happy with it with the exception of the cord not being able to be stored inside but otherwise, he was impressed.",Extremely Positive,Because it was a thorough review and he explained everything where anyone could understand what he was talking about.,138,445,10,455,Extremely Positive,Strongly Favors,Somewhat Unlikely,"because while he might be a seller on Amazon, I doubt that is the case.",290,745,,,,23,768,1972,Male,High School Graduate,"$25,000 to $34,999",12,780
